t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
1.085000000000000142e+01,1.371296245667176894e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.090000000000000036e+01,1.371296247786622402e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.095000000000000107e+01,1.371296249906067910e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.371296252025513418e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.105000000000000071e+01,1.371296246165452981e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.110000000000000142e+01,1.371296248284898489e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.115000000000000036e+01,1.371296250404343997e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.120000000000000107e+01,1.371296244544283560e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.125000000000000000e+01,1.371296246663729068e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.130000000000000071e+01,1.371296248783174576e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.135000000000000142e+01,1.371296250902620084e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.140000000000000036e+01,1.371296245042559647e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.145000000000000107e+01,1.371296247162005155e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
