# ell  K  y  alpha  alpha_over_ac
5.500000000000000000e+00 4.271214653921846072e+00 7.287527756404584728e-30 3.704064343778035867e-02 2.035310267494534475e-01
5.533333333333333215e+00 4.271214653921846072e+00 4.980452964613515744e-30 3.704064343778035867e-02 2.035310267494534475e-01
5.566666666666666430e+00 4.271214653921846072e+00 3.403927121782066272e-30 3.704064343778035867e-02 2.035310267494534475e-01
5.599999999999999645e+00 4.271214653921846072e+00 2.326510970141773816e-30 3.704064343778035867e-02 2.035310267494534475e-01
5.633333333333332860e+00 4.271214653921846072e+00 1.589987557613794742e-30 3.704064343778035867e-02 2.035310267494534475e-01
5.666666666666666963e+00 4.271214653921846072e+00 1.086688662479428554e-30 3.704064343778035867e-02 2.035310267494534475e-01
5.700000000000000178e+00 4.271214653921846072e+00 7.427283264112565817e-31 3.704064343778035867e-02 2.035310267494534475e-01
5.733333333333333393e+00 4.271214653921846072e+00 5.075964879758345538e-31 3.704064343778035867e-02 2.035310267494534475e-01
5.766666666666666607e+00 4.271214653921846072e+00 3.469205440988130892e-31 3.704064343778035867e-02 2.035310267494534475e-01
5.799999999999999822e+00 4.271214653921846072e+00 2.371127297199273912e-31 3.704064343778035867e-02 2.035310267494534475e-01
5.833333333333333037e+00 4.271214653921846072e+00 1.620479313637421171e-31 3.704064343778035867e-02 2.035310267494534475e-01
5.866666666666666252e+00 4.271214653921846072e+00 1.107528476861190129e-31 3.704064343778035867e-02 2.035310267494534475e-01
5.900000000000000355e+00 4.271214653921846072e+00 7.569718912821396123e-32 3.704064343778035867e-02 2.035310267494534475e-01
5.933333333333333570e+00 4.271214653921846072e+00 5.173308460817791840e-32 3.704064343778035867e-02 2.035310267494534475e-01
5.966666666666666785e+00 4.271214653921846072e+00 3.535735625703037350e-32 3.704064343778035867e-02 2.035310267494534475e-01
6.000000000000000000e+00 4.271214653921846072e+00 2.416599247404762405e-32 3.704064343778035867e-02 2.035310267494534475e-01
6.033333333333333215e+00 4.271214653921846072e+00 1.651555820894447728e-32 3.704064343778035867e-02 2.035310267494534475e-01
6.066666666666666430e+00 4.271214653921846072e+00 1.128767943763907117e-32 3.704064343778035867e-02 2.035310267494534475e-01
6.099999999999999645e+00 4.271214653921846072e+00 7.714886100546884078e-33 3.704064343778035867e-02 2.035310267494534475e-01
6.133333333333332860e+00 4.271214653921846072e+00 5.272518834299608199e-33 3.704064343778035867e-02 2.035310267494534475e-01
6.166666666666666963e+00 4.271214653921846072e+00 3.603541683396206515e-33 3.704064343778035867e-02 2.035310267494534475e-01
6.200000000000000178e+00 4.271214653921846072e+00 2.462943229347197028e-33 3.704064343778035867e-02 2.035310267494534475e-01
6.233333333333333393e+00 4.271214653921846072e+00 1.683228293366930964e-33 3.704064343778035867e-02 2.035310267494534475e-01
6.266666666666666607e+00 4.271214653921846072e+00 1.150414727465909372e-33 3.704064343778035867e-02 2.035310267494534475e-01
6.299999999999999822e+00 4.271214653921846072e+00 7.862837210982610224e-34 3.704064343778035867e-02 2.035310267494534475e-01
6.333333333333333037e+00 4.271214653921846072e+00 5.373631800344902423e-34 3.704064343778035867e-02 2.035310267494534475e-01
6.366666666666666252e+00 4.271214653921846072e+00 3.672648081936865738e-34 3.704064343778035867e-02 2.035310267494534475e-01
6.400000000000000355e+00 4.271214653921846072e+00 2.510175966288865811e-34 3.704064343778035867e-02 2.035310267494534475e-01
6.433333333333333570e+00 4.271214653921846072e+00 1.715508160091446475e-34 3.704064343778035867e-02 2.035310267494534475e-01
6.466666666666666785e+00 4.271214653921846072e+00 1.172476639226101194e-34 3.704064343778035867e-02 2.035310267494534475e-01
6.500000000000000000e+00 4.271214653921846072e+00 8.013625632403085331e-35 3.704064343778035867e-02 2.035310267494534475e-01
6.533333333333333215e+00 4.271214653921846072e+00 5.476683845646957499e-35 3.704064343778035867e-02 2.035310267494534475e-01
6.566666666666666430e+00 4.271214653921846072e+00 3.743079758423144293e-35 3.704064343778035867e-02 2.035310267494534475e-01
6.599999999999999645e+00 4.271214653921846072e+00 2.558314502200028807e-35 3.704064343778035867e-02 2.035310267494534475e-01
6.633333333333332860e+00 4.271214653921846072e+00 1.748407069283278345e-35 3.704064343778035867e-02 2.035310267494534475e-01
6.666666666666666963e+00 4.271214653921846072e+00 1.194961640102673136e-35 3.704064343778035867e-02 2.035310267494534475e-01
6.700000000000000178e+00 4.271214653921846072e+00 8.167305776928641406e-36 3.704064343778035867e-02 2.035310267494534475e-01
6.733333333333333393e+00 4.271214653921846072e+00 5.581712156617282016e-36 3.704064343778035867e-02 2.035310267494534475e-01
6.766666666666666607e+00 4.271214653921846072e+00 3.814862128180869190e-36 3.704064343778035867e-02 2.035310267494534475e-01
6.799999999999999822e+00 4.271214653921846072e+00 2.607376207909137176e-36 3.704064343778035867e-02 2.035310267494534475e-01
6.833333333333333037e+00 4.271214653921846072e+00 1.781936892539618841e-36 3.704064343778035867e-02 2.035310267494534475e-01
6.866666666666666252e+00 4.271214653921846072e+00 1.217877843825868591e-36 3.704064343778035867e-02 2.035310267494534475e-01
6.899999999999999467e+00 4.271214653921846072e+00 8.323933100160250274e-37 3.704064343778035867e-02 2.035310267494534475e-01
6.933333333333333570e+00 4.271214653921846072e+00 5.688754632804400922e-37 3.704064343778035867e-02 2.035310267494534475e-01
6.966666666666666785e+00 4.271214653921846072e+00 3.888021093934562350e-37 3.704064343778035867e-02 2.035310267494534475e-01
7.000000000000000000e+00 4.271214653921846072e+00 2.657378787371262037e-37 3.704064343778035867e-02 2.035310267494534475e-01
7.033333333333333215e+00 4.271214653921846072e+00 1.816109729123548601e-37 3.704064343778035867e-02 2.035310267494534475e-01
7.066666666666666430e+00 4.271214653921846072e+00 1.241233519725779955e-37 3.704064343778035867e-02 2.035310267494534475e-01
7.099999999999999645e+00 4.271214653921846072e+00 8.483564121190362452e-38 3.704064343778035867e-02 2.035310267494534475e-01
