# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
4.716720776545258453e-01 6.967662850900000482e-01 5.642109789549307752e-01 6.007227551277818378e-01 1.817956018219515357e-01
4.855036157379002404e-01 7.059265444029999559e-01 5.697775306732592027e-01 6.051312008013278732e-01 1.817956018219515357e-01
4.997407564736584540e-01 7.152585087780000128e-01 5.754251107703762802e-01 6.095080541757909032e-01 1.817956018219515357e-01
5.143953939483882909e-01 7.247654101899999590e-01 5.811548987194096183e-01 6.138530890884285052e-01 1.817956018219515357e-01
5.294797710365753973e-01 7.344505366519999967e-01 5.869680911622490171e-01 6.181660940688572525e-01 1.817956018219515357e-01
5.450064896286245242e-01 7.443172317080000155e-01 5.928659021594580025e-01 6.224468720620511819e-01 1.817956018219515357e-01
5.609885211588138132e-01 7.543688947550000190e-01 5.988495634438258941e-01 6.266952401497708491e-01 1.817956018219515357e-01
5.774392174419787915e-01 7.646089811849999807e-01 6.049203246776102549e-01 6.309110292707580392e-01 1.817956018219515357e-01
5.943723218279725051e-01 7.750410045229999545e-01 6.110794537135233462e-01 6.350940839400128768e-01 1.817956018219515357e-01
6.118019806832271090e-01 7.856685359339999897e-01 6.173282368595180980e-01 6.392442619674629789e-01 1.817956018219515357e-01
6.297427552090025804e-01 7.964952048450000266e-01 6.236679791474266654e-01 6.433614341763169708e-01 1.817956018219515357e-01
6.482096336062059816e-01 8.075246990400000158e-01 6.301000046055129644e-01 6.474454841213862499e-01 1.817956018219515357e-01
6.672180435969318202e-01 8.187607666239999915e-01 6.366256565349890373e-01 6.514963078076393410e-01 1.817956018219515357e-01
6.867838653131900228e-01 8.302072148260000173e-01 6.432462977905573087e-01 6.555138134092478586e-01 1.817956018219515357e-01
7.069234445635947939e-01 8.418679120069999522e-01 6.499633110650382406e-01 6.594979209893679917e-01 1.817956018219515357e-01
7.276536064890876121e-01 8.537467867019999934e-01 6.567780991781397848e-01 6.634485622208886602e-01 1.817956018219515357e-01
7.489916696191044609e-01 8.658478291210000011e-01 6.636920853694289191e-01 6.673656801083659440e-01 1.817956018219515357e-01
